id,activity,application,application_id,attachments,author.avatar,author.bot,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds.0.color,embeds.0.content_scan_version,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.fields.4.inline,embeds.0.fields.4.name,embeds.0.fields.4.value,embeds.0.fields.5.inline,embeds.0.fields.5.name,embeds.0.fields.5.value,embeds.0.fields.6.inline,embeds.0.fields.6.name,embeds.0.fields.6.value,embeds.0.fields.7.inline,embeds.0.fields.7.name,embeds.0.fields.7.value,embeds.0.footer.text,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.timestamp,embeds.0.title,embeds.0.type,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1464681867881091214,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:02:49.776Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:02:49.461000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:02:49.776000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464681866878517400,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:02:49.537Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:02:46.503000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:02:49.537000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464681854039883892,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:02:46.476Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:02:18.614000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:02:46.476000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464671551885414664,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T17:21:50.251Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T17:21:49.905000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T17:21:50.251000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464671551365320795,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T17:21:50.127Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T17:21:48.966000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T17:21:50.127000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464487093014237344,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T05:08:51.829Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T05:08:51.575000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T05:08:51.829000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464486900583891138,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T05:08:05.950Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T05:08:05.664000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T05:08:05.950000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464486896825663488,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T05:08:05.054Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T05:08:04.784000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T05:08:05.054000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464486877137731745,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T05:08:00.360Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T05:08:00.034000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T05:08:00.360000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464486874784468992,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T05:07:59.799Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T05:07:58.974000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T05:07:59.799000+00:00,false,0,Animal Battle Stats,1446203750204047426
