id,activity,application,application_id,attachments,author.avatar,author.bot,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds.0.color,embeds.0.content_scan_version,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.fields.4.inline,embeds.0.fields.4.name,embeds.0.fields.4.value,embeds.0.fields.5.inline,embeds.0.fields.5.name,embeds.0.fields.5.value,embeds.0.fields.6.inline,embeds.0.fields.6.name,embeds.0.fields.6.value,embeds.0.fields.7.inline,embeds.0.fields.7.name,embeds.0.fields.7.value,embeds.0.timestamp,embeds.0.title,embeds.0.type,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1448724709134045425,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:14:46.661Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:14:46.390000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:14:46.661000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448723404449382561,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:09:35.600Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:09:35.296000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:09:35.600000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448723401102590003,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:09:34.802Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:09:34.543000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:09:34.802000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448723130683228201,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:08:30.329Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:08:30.086000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:08:30.329000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448723127717593089,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:08:29.622Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:08:28.989000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:08:29.622000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448723104879612005,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:08:24.177Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:08:23.907000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:08:24.177000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448723102262493286,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:08:23.553Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:08:22.676000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:08:23.553000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448718246256578570,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:49:05.791Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:49:05.554000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:49:05.791000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448718243287273663,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:49:05.083Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:49:04.830000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:49:05.083000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448718040018587721,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:48:16.620Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:46:47.715000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:48:16.620000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448717661478457475,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:46:46.369Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:46:46.107000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:46:46.369000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448717643279237281,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:46:42.030Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:46:41.638000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:46:42.030000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448717638426689727,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:46:40.873Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:46:40.414000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:46:40.873000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448712408758616064,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:25:54.023Z,,65416,0,true,User,RamiNoodle733,true,Animal,Blue Whale,true,Vote,👍 Upvote,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,2025-12-11T16:25:53.677000+00:00,👍 New Vote,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:25:54.023000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448712371035045930,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:25:45.029Z,,65416,0,true,User,RamiNoodle733,true,Animal,Arctic Wolf,true,Vote,👍 Upvote,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,2025-12-11T16:25:44.698000+00:00,👍 New Vote,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:25:45.029000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448712112737357899,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:24:43.446Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:24:43.278000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:24:43.446000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448712109662933044,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:24:42.713Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:24:42.150000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:24:42.713000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448711914476540024,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:23:56.177Z,,16763904,0,true,User,RamiNoodle733,true,Animal,Megalodon,true,Changed,👍 -> 👎,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,2025-12-11T16:23:55.424000+00:00,🔄 Vote Changed,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:23:56.177000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448711795450712104,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:23:27.799Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:23:27.454000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:23:27.799000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448711748856188968,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:23:16.690Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:23:16.411000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:23:16.690000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448711746327150712,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:23:16.087Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:23:15.610000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:23:16.087000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448711727125368976,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:23:11.509Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:23:09.434000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:23:11.509000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448711725351436522,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T16:23:11.086Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T16:23:10.794000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T16:23:11.086000+00:00,false,0,Animal Battle Stats,1446203750204047426
